name,ghs
0,d9b7
A.V PRINCIPAL DE GUAICAY,d9b7q
ACCESO DESDE INTERCOMUNAL LA TRINIDAD - EL HATILLO,d9b7q
ACENIDA COQUIVACOA,d9b7q
ACUEDUCTO Y LAS COCUIZAS,d9b7q
ANTIGUA CARRETERA BARUTA,d9b7q
ANTIGUA CARRETERA BARUTA CON CALLE ARAURE,d9b7q
ANTIGUA CARRETERA BARUTA CON CAMINO DE PEATONES,d9b7q
ARTERIAL 2,d9b7q
AUTOPISTA CARACAS-BARUTA,d9b7q
AUTOPISTA CARACAS-VALENCIA ENTRE QUEBRADA LA ENECA,d9b
AUTOPISTA REGIONAL DEL CENTRO,d9b d9b7
AUTOPISTA REGIONAL DEL CENTRO COCHE-TEJERIAS,d9b7
AUTOPISTA REGIONAL DEL CENTRO ENTRE AVENIDA PRINCI,d9b7
AUTOPISTA REGIONAL DEL CENTRO ENTRE CAMINO DE TIER,d9b7
AUTOPISTA REGIONAL DEL CENTRO ENTRE ESCALERA PRIME,d9b7
AUTOPISTA REGIONAL DEL CENTRO ENTRE QUEBRADA ENECA,d9b
AUTOPISTA TRINIDAD - LA BOYERA,d9b7q
AUTOPISTA TRINIDAD - LA BOYERA / CALLE DEL ANGEL,d9b7q
AUTOPISTA TRINIDAD - LA BOYERA / CALLE DEL GAMELOTAL,d9b7q
AUTOPISTA TUNEL LA TRINIDAD  / AV. LAS LOMAS,d9b7q
AUTOPISTA TUNEL LA TRINIDAD / AV. ARBOLEDA,d9b7q
AV CARONI,d9b7
AV CARUPANO,d9b7
AV CRISTOBAL COLON,d9b7q
AV LA REDOMA,d9b7q
AV PPAL DE CHARALLAVITO,d9b7q
AV PPAL DE CHARALLAVITO CON ANTIGUA CARR. BARUTA,d9b7q
AV PRINCIPAL DE LA GUAIRITA,d9b7
AV PRINCIPAL DE MONTE REY,d9b7q
AV PRINCIPAL DE MONTE REY / CALLE C,d9b7q
AV RIO DE JANEIRO,d9b7
AV SAN SEBASTIAN,d9b7q
AV SANTA INES,d9b7q
"AV, TUY",d9b7
AV.  SALTO CANAIMA,d9b7
AV. 10,d9b7
AV. 12,d9b7
AV. 13,d9b7
AV. 14,d9b7
AV. 15,d9b7
AV. 2,d9b7
AV. 2A,d9b7
AV. 3,d9b7
AV. 4,d9b7
AV. 4  CON CALLE 5,d9b7
AV. 5,d9b7
AV. 6,d9b7
AV. 6  CON CALLE 6,d9b7
AV. 7,d9b7
AV. 7A,d9b7
AV. 8,d9b7
AV. 9,d9b7
AV. 9 CON AV. PRINCIPAL DE ALTO PRADO,d9b7
AV. A,d9b7
AV. A Y CALLE C,d9b7
