name,ghs
AUTOPISTA CARACAS-BARUTA,d9b
AUTOPISTA CARACAS-VALENCIA,d9b
AUTOPISTA DISTRIBUIDOR LOS CAMPITOS,d9b
AUTOPISTA DISTRIBUIDOR PRADOS DEL ESTE,d9b
AUTOPISTA DISTRIBUIDOR SANTA FE,d9b
AUTOPISTA EL VALLE,d9b
AUTOPISTA FRANCISCO FAJARDO,d9b
AUTOPISTA LA TRINIDAD - LA BOYERA,d9b
AUTOPISTA SALIDA LAS MERCEDES,d9b
AUTOPISTA TRAMO SALIDA PASEO ENRIQUE ERAZO,d9b
AUTOPISTA TUNEL LA TRINIDAD,d9b
AVENIDA  1,d9b
AVENIDA  CARONI,d9b
AVENIDA 1,d9b
AVENIDA 1 DE LA COROMOTO,d9b
AVENIDA 10,d9b
AVENIDA 12,d9b
AVENIDA 13,d9b
AVENIDA 14,d9b
AVENIDA 15,d9b
AVENIDA 2,d9b
AVENIDA 3,d9b
AVENIDA 4,d9b
AVENIDA 5,d9b
AVENIDA 6,d9b
AVENIDA 7,d9b
AVENIDA 7-A,d9b
AVENIDA 8,d9b
AVENIDA 9,d9b
AVENIDA A,d9b
AVENIDA A-C,d9b
AVENIDA ABRAHAM LINCOLN,d9b
AVENIDA AC-2,d9b
AVENIDA AC-3,d9b
AVENIDA ALAMEDA,d9b
AVENIDA AMERICA,d9b
AVENIDA ANAUCO,d9b
AVENIDA ARAURE,d9b
AVENIDA ARBOLEDA,d9b
AVENIDA ARTERIAL 2,d9b
AVENIDA B,d9b
AVENIDA BARUTA,d9b
AVENIDA BOULEVARD  EL CAFETAL,d9b
AVENIDA C,d9b
AVENIDA CARABOBO,d9b
AVENIDA CARACAS,d9b
AVENIDA CARLOS BELLO,d9b
AVENIDA CARONI,d9b
AVENIDA CASIQUIARE,d9b
AVENIDA CAURA,d9b
AVENIDA CECILIO ACOSTA,d9b
AVENIDA CENTRAL,d9b
AVENIDA CHAMA,d9b
AVENIDA CHICAGO,d9b
AVENIDA CHORONI,d9b
AVENIDA CHULAVISTA,d9b
AVENIDA CIRCUNVALACION DEL SOL,d9b
AVENIDA COQUIVACOA,d9b
AVENIDA CORDILLERA DE LA COSTA,d9b
AVENIDA CORDILLERA DE LOS ANDES,d9b
AVENIDA CRISTOBAL COLON,d9b
AVENIDA CUMANA,d9b
